Hashset - insert | Iterations: 1 Duration: 1.543000ms
Hashset - insert | Iterations: 1 Duration: 0.090000ms
Hashset - insert | Iterations: 1 Duration: 0.082000ms
Hashset - insert | Iterations: 1 Duration: 0.034000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.073000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.040000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.556000ms
Hashset - insert | Iterations: 1 Duration: 0.100000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.123000ms
Hashset - insert | Iterations: 1 Duration: 0.122000ms
Hashset - insert | Iterations: 1 Duration: 0.051000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.288000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.030000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.034000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.031000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - search | Iterations: 1 Duration: 0.250000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.015000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.028000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.028000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.027000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.028000ms
Hashset - search | Iterations: 1 Duration: 0.015000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - delete | Iterations: 1 Duration: 0.105000ms
Hashset - delete | Iterations: 1 Duration: 0.037000ms
Hashset - delete | Iterations: 1 Duration: 0.040000ms
Hashset - delete | Iterations: 1 Duration: 0.040000ms
Hashset - delete | Iterations: 1 Duration: 0.066000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.044000ms
Hashset - delete | Iterations: 1 Duration: 0.077000ms
Hashset - delete | Iterations: 1 Duration: 0.056000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.035000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.038000ms
Hashset - delete | Iterations: 1 Duration: 0.038000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.049000ms
Hashset - delete | Iterations: 1 Duration: 0.039000ms
Hashset - delete | Iterations: 1 Duration: 0.032000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.032000ms
Hashset - delete | Iterations: 1 Duration: 0.031000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.067000ms
Hashset - delete | Iterations: 1 Duration: 0.038000ms
Hashset - delete | Iterations: 1 Duration: 0.033000ms
Hashset - delete | Iterations: 1 Duration: 0.032000ms
Hashset - delete | Iterations: 1 Duration: 0.045000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Red Black Tree - insert | Iterations: 1 Duration: 0.843000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.132000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.380000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.094000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.124000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.172000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.133000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.230000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.123000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.144000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.101000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.107000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.196000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.327000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.113000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.175000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.100000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.104000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.116000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.095000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.107000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.093000ms
Red Black Tree - insert | Iterations: 7 Duration: 3.664000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.106000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.095000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.072000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.090000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.074000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.080000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.323000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.078000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.075000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.083000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.075000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.087000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.088000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.078000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.063000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.074000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.092000ms
Red Black Tree - insert | Iterations: 11 Duration: 0.074000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.070000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.080000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.071000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.100000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.077000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.078000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.070000ms
Red Black Tree - insert | Iterations: 11 Duration: 0.081000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.080000ms
Red Black Tree - search | Iterations: 9 Duration: 0.202000ms
Red Black Tree - search | Iterations: 3 Duration: 0.047000ms
Red Black Tree - search | Iterations: 9 Duration: 0.051000ms
Red Black Tree - search | Iterations: 8 Duration: 0.052000ms
Red Black Tree - search | Iterations: 7 Duration: 0.060000ms
Red Black Tree - search | Iterations: 10 Duration: 0.063000ms
Red Black Tree - search | Iterations: 5 Duration: 0.032000ms
Red Black Tree - search | Iterations: 7 Duration: 0.046000ms
Red Black Tree - search | Iterations: 3 Duration: 0.028000ms
Red Black Tree - search | Iterations: 2 Duration: 0.035000ms
Red Black Tree - search | Iterations: 8 Duration: 0.062000ms
Red Black Tree - search | Iterations: 10 Duration: 0.066000ms
Red Black Tree - search | Iterations: 8 Duration: 0.047000ms
Red Black Tree - search | Iterations: 5 Duration: 0.069000ms
Red Black Tree - search | Iterations: 6 Duration: 0.050000ms
Red Black Tree - search | Iterations: 7 Duration: 0.054000ms
Red Black Tree - search | Iterations: 7 Duration: 0.044000ms
Red Black Tree - search | Iterations: 5 Duration: 0.043000ms
Red Black Tree - search | Iterations: 10 Duration: 0.069000ms
Red Black Tree - search | Iterations: 8 Duration: 0.044000ms
Red Black Tree - search | Iterations: 5 Duration: 0.037000ms
Red Black Tree - search | Iterations: 8 Duration: 0.034000ms
Red Black Tree - search | Iterations: 3 Duration: 0.028000ms
Red Black Tree - search | Iterations: 8 Duration: 0.034000ms
Red Black Tree - search | Iterations: 5 Duration: 0.059000ms
Red Black Tree - search | Iterations: 2 Duration: 0.034000ms
Red Black Tree - search | Iterations: 10 Duration: 0.061000ms
