Hashset - insert | Iterations: 1 Duration: 2.435000ms
Hashset - insert | Iterations: 1 Duration: 0.124000ms
Hashset - insert | Iterations: 1 Duration: 0.122000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.050000ms
Hashset - insert | Iterations: 1 Duration: 0.050000ms
Hashset - insert | Iterations: 1 Duration: 0.117000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.080000ms
Hashset - insert | Iterations: 1 Duration: 0.064000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.062000ms
Hashset - insert | Iterations: 1 Duration: 0.683000ms
Hashset - insert | Iterations: 1 Duration: 0.072000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.065000ms
Hashset - insert | Iterations: 1 Duration: 0.066000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.064000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.181000ms
Hashset - insert | Iterations: 1 Duration: 0.173000ms
Hashset - insert | Iterations: 1 Duration: 0.121000ms
Hashset - insert | Iterations: 1 Duration: 0.075000ms
Hashset - insert | Iterations: 1 Duration: 0.077000ms
Hashset - insert | Iterations: 1 Duration: 0.061000ms
Hashset - insert | Iterations: 1 Duration: 0.084000ms
Hashset - insert | Iterations: 1 Duration: 0.359000ms
Hashset - insert | Iterations: 1 Duration: 0.074000ms
Hashset - insert | Iterations: 1 Duration: 0.051000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - search | Iterations: 1 Duration: 0.176000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.023000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.023000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.044000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - delete | Iterations: 1 Duration: 0.138000ms
Hashset - delete | Iterations: 1 Duration: 0.053000ms
Hashset - delete | Iterations: 1 Duration: 0.049000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.060000ms
Hashset - delete | Iterations: 1 Duration: 0.045000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.071000ms
Hashset - delete | Iterations: 1 Duration: 0.058000ms
Hashset - delete | Iterations: 1 Duration: 0.052000ms
Hashset - delete | Iterations: 1 Duration: 0.048000ms
Hashset - delete | Iterations: 1 Duration: 0.044000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.048000ms
Hashset - delete | Iterations: 1 Duration: 0.056000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.044000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.049000ms
Hashset - delete | Iterations: 1 Duration: 0.047000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.052000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.045000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.028000ms
Red Black Tree - insert | Iterations: 1 Duration: 0.643000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.183000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.238000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.124000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.165000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.119000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.133000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.423000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.131000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.159000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.136000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.138000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.199000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.451000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.196000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.168000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.135000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.197000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.134000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.131000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.186000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.150000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.139000ms
Red Black Tree - insert | Iterations: 4 Duration: 1.873000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.180000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.144000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.195000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.101000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.136000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.312000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.124000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.106000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.104000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.103000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.097000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.110000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.100000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.093000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.107000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.091000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.105000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.102000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.087000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.096000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.137000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.115000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.098000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.106000ms
