Hashset - insert | Iterations: 1 Duration: 2.914000ms
Hashset - insert | Iterations: 1 Duration: 0.096000ms
Hashset - insert | Iterations: 1 Duration: 0.087000ms
Hashset - insert | Iterations: 1 Duration: 0.039000ms
Hashset - insert | Iterations: 1 Duration: 0.040000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.038000ms
Hashset - insert | Iterations: 1 Duration: 0.082000ms
Hashset - insert | Iterations: 1 Duration: 0.087000ms
Hashset - insert | Iterations: 1 Duration: 0.056000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.064000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - insert | Iterations: 1 Duration: 1.471000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.059000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.120000ms
Hashset - insert | Iterations: 1 Duration: 0.131000ms
Hashset - insert | Iterations: 1 Duration: 0.069000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.061000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.268000ms
Hashset - insert | Iterations: 1 Duration: 0.063000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.038000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.038000ms
Hashset - insert | Iterations: 1 Duration: 0.038000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - search | Iterations: 1 Duration: 0.203000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.046000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.034000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - delete | Iterations: 1 Duration: 0.182000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.048000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.058000ms
Hashset - delete | Iterations: 1 Duration: 0.056000ms
Hashset - delete | Iterations: 1 Duration: 0.076000ms
Hashset - delete | Iterations: 1 Duration: 0.068000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.047000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.039000ms
Hashset - delete | Iterations: 1 Duration: 0.030000ms
Hashset - delete | Iterations: 1 Duration: 0.037000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.040000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.032000ms
Hashset - delete | Iterations: 1 Duration: 0.031000ms
Hashset - delete | Iterations: 1 Duration: 0.030000ms
Hashset - delete | Iterations: 1 Duration: 0.035000ms
Hashset - delete | Iterations: 1 Duration: 0.033000ms
Hashset - delete | Iterations: 1 Duration: 0.037000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.033000ms
Hashset - delete | Iterations: 1 Duration: 0.033000ms
Hashset - delete | Iterations: 1 Duration: 0.029000ms
Red Black Tree - insert | Iterations: 1 Duration: 0.613000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.154000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.120000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.117000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.134000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.084000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.100000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.341000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.182000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.141000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.064000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.170000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.180000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.421000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.147000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.171000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.148000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.126000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.147000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.127000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.133000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.089000ms
Red Black Tree - insert | Iterations: 5 Duration: 2.964000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.153000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.087000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.119000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.140000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.100000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.118000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.263000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.122000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.075000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.109000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.102000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.096000ms
Red Black Tree - insert | Iterations: 11 Duration: 0.083000ms
Red Black Tree - insert | Iterations: 11 Duration: 0.077000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.081000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.071000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.071000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.091000ms
