Hashset - insert | Iterations: 1 Duration: 3.751000ms
Hashset - insert | Iterations: 1 Duration: 0.087000ms
Hashset - insert | Iterations: 1 Duration: 0.092000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.073000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.034000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 1.381000ms
Hashset - insert | Iterations: 1 Duration: 0.056000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.061000ms
Hashset - insert | Iterations: 1 Duration: 0.034000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.111000ms
Hashset - insert | Iterations: 1 Duration: 0.116000ms
Hashset - insert | Iterations: 1 Duration: 0.059000ms
Hashset - insert | Iterations: 1 Duration: 0.034000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.284000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.034000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.034000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.032000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - insert | Iterations: 1 Duration: 0.033000ms
Hashset - search | Iterations: 1 Duration: 0.442000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.016000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - search | Iterations: 1 Duration: 0.017000ms
Hashset - delete | Iterations: 1 Duration: 0.103000ms
Hashset - delete | Iterations: 1 Duration: 0.045000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.038000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.031000ms
Hashset - delete | Iterations: 1 Duration: 0.022000ms
Hashset - delete | Iterations: 1 Duration: 0.061000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.035000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.029000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.033000ms
Hashset - delete | Iterations: 1 Duration: 0.038000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.033000ms
Hashset - delete | Iterations: 1 Duration: 0.038000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.048000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.032000ms
Hashset - delete | Iterations: 1 Duration: 0.032000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.035000ms
Hashset - delete | Iterations: 1 Duration: 0.035000ms
Red Black Tree - insert | Iterations: 1 Duration: 1.277000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.171000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.181000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.136000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.091000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.195000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.095000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.230000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.097000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.112000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.097000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.093000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.133000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.395000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.133000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.110000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.131000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.076000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.112000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.085000ms
