Hashset - insert | Iterations: 1 Duration: 3.741000ms
Hashset - insert | Iterations: 1 Duration: 0.199000ms
Hashset - insert | Iterations: 1 Duration: 0.207000ms
Hashset - insert | Iterations: 1 Duration: 0.085000ms
Hashset - insert | Iterations: 1 Duration: 0.119000ms
Hashset - insert | Iterations: 1 Duration: 0.085000ms
Hashset - insert | Iterations: 1 Duration: 0.121000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.085000ms
Hashset - insert | Iterations: 1 Duration: 0.108000ms
Hashset - insert | Iterations: 1 Duration: 0.098000ms
Hashset - insert | Iterations: 1 Duration: 0.127000ms
Hashset - insert | Iterations: 1 Duration: 0.085000ms
Hashset - insert | Iterations: 1 Duration: 0.815000ms
Hashset - insert | Iterations: 1 Duration: 0.152000ms
Hashset - insert | Iterations: 1 Duration: 0.112000ms
Hashset - insert | Iterations: 1 Duration: 0.097000ms
Hashset - insert | Iterations: 1 Duration: 0.101000ms
Hashset - insert | Iterations: 1 Duration: 0.085000ms
Hashset - insert | Iterations: 1 Duration: 0.085000ms
Hashset - insert | Iterations: 1 Duration: 0.097000ms
Hashset - insert | Iterations: 1 Duration: 0.096000ms
Hashset - insert | Iterations: 1 Duration: 0.208000ms
Hashset - insert | Iterations: 1 Duration: 0.290000ms
Hashset - insert | Iterations: 1 Duration: 0.176000ms
Hashset - insert | Iterations: 1 Duration: 0.121000ms
Hashset - insert | Iterations: 1 Duration: 0.109000ms
Hashset - insert | Iterations: 1 Duration: 0.103000ms
Hashset - insert | Iterations: 1 Duration: 0.100000ms
Hashset - insert | Iterations: 1 Duration: 0.642000ms
Hashset - insert | Iterations: 1 Duration: 0.116000ms
Hashset - insert | Iterations: 1 Duration: 0.114000ms
Hashset - insert | Iterations: 1 Duration: 0.088000ms
Hashset - insert | Iterations: 1 Duration: 0.087000ms
Hashset - insert | Iterations: 1 Duration: 0.088000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.089000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.088000ms
Hashset - insert | Iterations: 1 Duration: 0.087000ms
Hashset - insert | Iterations: 1 Duration: 0.088000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.088000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.087000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.088000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.088000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - search | Iterations: 1 Duration: 0.315000ms
Hashset - search | Iterations: 1 Duration: 0.025000ms
