Hashset - insert | Iterations: 1 Duration: 1.510000ms
Hashset - insert | Iterations: 1 Duration: 0.093000ms
Hashset - insert | Iterations: 1 Duration: 0.090000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.040000ms
Hashset - insert | Iterations: 1 Duration: 0.041000ms
Hashset - insert | Iterations: 1 Duration: 0.090000ms
Hashset - insert | Iterations: 1 Duration: 0.050000ms
Hashset - insert | Iterations: 1 Duration: 0.091000ms
Hashset - insert | Iterations: 1 Duration: 0.059000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.511000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.039000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.117000ms
Hashset - insert | Iterations: 1 Duration: 0.147000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.058000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.261000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.037000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
Hashset - insert | Iterations: 1 Duration: 0.035000ms
Hashset - insert | Iterations: 1 Duration: 0.036000ms
