Hashset - insert | Iterations: 1 Duration: 1.469000ms
Hashset - insert | Iterations: 1 Duration: 0.117000ms
Hashset - insert | Iterations: 1 Duration: 0.078000ms
Hashset - insert | Iterations: 1 Duration: 0.100000ms
Hashset - insert | Iterations: 1 Duration: 0.062000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.083000ms
Hashset - insert | Iterations: 1 Duration: 0.055000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.041000ms
Hashset - insert | Iterations: 1 Duration: 0.056000ms
Hashset - insert | Iterations: 1 Duration: 0.643000ms
Hashset - insert | Iterations: 1 Duration: 0.069000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.059000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.062000ms
Hashset - insert | Iterations: 1 Duration: 0.149000ms
Hashset - insert | Iterations: 1 Duration: 0.134000ms
Hashset - insert | Iterations: 1 Duration: 0.071000ms
Hashset - insert | Iterations: 1 Duration: 0.058000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.059000ms
Hashset - insert | Iterations: 1 Duration: 0.075000ms
Hashset - insert | Iterations: 1 Duration: 0.338000ms
Hashset - insert | Iterations: 1 Duration: 0.059000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - search | Iterations: 1 Duration: 0.253000ms
Hashset - search | Iterations: 1 Duration: 0.043000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.023000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.037000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.050000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.024000ms
Hashset - search | Iterations: 1 Duration: 0.018000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - delete | Iterations: 1 Duration: 0.134000ms
Hashset - delete | Iterations: 1 Duration: 0.141000ms
Hashset - delete | Iterations: 1 Duration: 0.044000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.039000ms
Hashset - delete | Iterations: 1 Duration: 0.056000ms
Hashset - delete | Iterations: 1 Duration: 0.045000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.058000ms
Hashset - delete | Iterations: 1 Duration: 0.059000ms
Hashset - delete | Iterations: 1 Duration: 0.048000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.038000ms
Hashset - delete | Iterations: 1 Duration: 0.023000ms
Hashset - delete | Iterations: 1 Duration: 0.051000ms
Hashset - delete | Iterations: 1 Duration: 0.025000ms
Hashset - delete | Iterations: 1 Duration: 0.051000ms
Hashset - delete | Iterations: 1 Duration: 0.051000ms
Hashset - delete | Iterations: 1 Duration: 0.040000ms
Hashset - delete | Iterations: 1 Duration: 0.043000ms
Hashset - delete | Iterations: 1 Duration: 0.040000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.040000ms
Hashset - delete | Iterations: 1 Duration: 0.034000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.037000ms
Hashset - delete | Iterations: 1 Duration: 0.036000ms
Hashset - delete | Iterations: 1 Duration: 0.025000ms
Red Black Tree - insert | Iterations: 1 Duration: 0.956000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.185000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.201000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.213000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.169000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.133000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.172000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.207000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.163000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.172000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.149000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.122000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.151000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.511000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.178000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.155000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.128000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.128000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.137000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.111000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.132000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.140000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.130000ms
Red Black Tree - insert | Iterations: 5 Duration: 2.472000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.126000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.145000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.127000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.121000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.167000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.285000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.126000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.100000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.087000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.099000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.096000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.093000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.095000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.111000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.102000ms
Red Black Tree - insert | Iterations: 11 Duration: 0.128000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.089000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.105000ms
Red Black Tree - insert | Iterations: 10 Duration: 0.107000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.096000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.099000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.094000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.097000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.098000ms
Red Black Tree - insert | Iterations: 11 Duration: 0.103000ms
Red Black Tree - insert | Iterations: 9 Duration: 0.094000ms
Red Black Tree - search | Iterations: 7 Duration: 0.344000ms
Red Black Tree - search | Iterations: 8 Duration: 0.066000ms
Red Black Tree - search | Iterations: 3 Duration: 0.040000ms
Red Black Tree - search | Iterations: 7 Duration: 0.075000ms
Red Black Tree - search | Iterations: 9 Duration: 0.067000ms
Red Black Tree - search | Iterations: 2 Duration: 0.040000ms
Red Black Tree - search | Iterations: 9 Duration: 0.079000ms
Red Black Tree - search | Iterations: 9 Duration: 0.062000ms
Red Black Tree - search | Iterations: 6 Duration: 0.048000ms
Red Black Tree - search | Iterations: 11 Duration: 0.069000ms
Red Black Tree - search | Iterations: 9 Duration: 0.037000ms
Red Black Tree - search | Iterations: 7 Duration: 0.078000ms
Red Black Tree - search | Iterations: 2 Duration: 0.027000ms
Red Black Tree - search | Iterations: 6 Duration: 0.048000ms
Red Black Tree - search | Iterations: 10 Duration: 0.043000ms
Red Black Tree - search | Iterations: 7 Duration: 0.047000ms
Red Black Tree - search | Iterations: 6 Duration: 0.049000ms
Red Black Tree - search | Iterations: 9 Duration: 0.053000ms
Red Black Tree - search | Iterations: 5 Duration: 0.038000ms
Red Black Tree - search | Iterations: 8 Duration: 0.045000ms
Red Black Tree - search | Iterations: 1 Duration: 0.028000ms
Red Black Tree - search | Iterations: 1 Duration: 0.018000ms
Red Black Tree - search | Iterations: 4 Duration: 0.045000ms
Red Black Tree - search | Iterations: 4 Duration: 0.039000ms
Red Black Tree - search | Iterations: 6 Duration: 0.060000ms
Red Black Tree - search | Iterations: 4 Duration: 0.038000ms
Red Black Tree - search | Iterations: 4 Duration: 0.038000ms
Red Black Tree - search | Iterations: 10 Duration: 0.074000ms
Red Black Tree - search | Iterations: 2 Duration: 0.037000ms
Red Black Tree - search | Iterations: 4 Duration: 0.030000ms
Red Black Tree - delete | Iterations: 9 Duration: 0.430000ms
Red Black Tree - delete | Iterations: 10 Duration: 0.151000ms
Red Black Tree - delete | Iterations: 13 Duration: 0.132000ms
Red Black Tree - delete | Iterations: 11 Duration: 0.109000ms
Red Black Tree - delete | Iterations: 8 Duration: 0.118000ms
Red Black Tree - delete | Iterations: 7 Duration: 0.088000ms
Red Black Tree - delete | Iterations: 8 Duration: 0.127000ms
Red Black Tree - delete | Iterations: 13 Duration: 0.132000ms
Red Black Tree - delete | Iterations: 8 Duration: 0.158000ms
Red Black Tree - delete | Iterations: 9 Duration: 0.091000ms
Red Black Tree - delete | Iterations: 6 Duration: 0.105000ms
Red Black Tree - delete | Iterations: 8 Duration: 0.075000ms
Red Black Tree - delete | Iterations: 6 Duration: 0.119000ms
Red Black Tree - delete | Iterations: 8 Duration: 0.095000ms
Red Black Tree - delete | Iterations: 5 Duration: 0.110000ms
Red Black Tree - delete | Iterations: 3 Duration: 0.119000ms
Red Black Tree - delete | Iterations: 10 Duration: 0.120000ms
Red Black Tree - delete | Iterations: 3 Duration: 0.172000ms
Red Black Tree - delete | Iterations: 8 Duration: 0.107000ms
Red Black Tree - delete | Iterations: 9 Duration: 0.200000ms
Red Black Tree - delete | Iterations: 4 Duration: 0.084000ms
Red Black Tree - delete | Iterations: 6 Duration: 0.079000ms
Red Black Tree - delete | Iterations: 6 Duration: 0.059000ms
Red Black Tree - delete | Iterations: 10 Duration: 0.106000ms
Red Black Tree - delete | Iterations: 7 Duration: 0.169000ms
Red Black Tree - delete | Iterations: 5 Duration: 0.106000ms
Red Black Tree - delete | Iterations: 4 Duration: 0.104000ms
Red Black Tree - delete | Iterations: 6 Duration: 0.134000ms
Red Black Tree - delete | Iterations: 3 Duration: 0.108000ms
Red Black Tree - delete | Iterations: 9 Duration: 0.120000ms
BinarySearch - insert | Iterations: 1 Duration: 0.182000ms
BinarySearch - insert | Iterations: 1 Duration: 0.113000ms
BinarySearch - insert | Iterations: 1 Duration: 0.036000ms
BinarySearch - insert | Iterations: 1 Duration: 0.032000ms
BinarySearch - insert | Iterations: 1 Duration: 0.031000ms
BinarySearch - insert | Iterations: 1 Duration: 0.032000ms
BinarySearch - insert | Iterations: 1 Duration: 0.033000ms
BinarySearch - insert | Iterations: 1 Duration: 0.105000ms
BinarySearch - insert | Iterations: 1 Duration: 0.089000ms
BinarySearch - insert | Iterations: 1 Duration: 0.055000ms
BinarySearch - insert | Iterations: 1 Duration: 0.087000ms
BinarySearch - insert | Iterations: 1 Duration: 0.071000ms
BinarySearch - insert | Iterations: 1 Duration: 0.069000ms
BinarySearch - insert | Iterations: 1 Duration: 0.246000ms
BinarySearch - insert | Iterations: 1 Duration: 0.069000ms
BinarySearch - insert | Iterations: 1 Duration: 0.055000ms
BinarySearch - insert | Iterations: 1 Duration: 0.047000ms
BinarySearch - insert | Iterations: 1 Duration: 0.048000ms
BinarySearch - insert | Iterations: 1 Duration: 0.048000ms
BinarySearch - insert | Iterations: 1 Duration: 0.047000ms
BinarySearch - insert | Iterations: 1 Duration: 0.047000ms
BinarySearch - insert | Iterations: 1 Duration: 0.067000ms
BinarySearch - insert | Iterations: 1 Duration: 0.052000ms
BinarySearch - insert | Iterations: 1 Duration: 0.037000ms
BinarySearch - insert | Iterations: 1 Duration: 0.081000ms
BinarySearch - insert | Iterations: 1 Duration: 0.047000ms
BinarySearch - insert | Iterations: 1 Duration: 0.047000ms
BinarySearch - insert | Iterations: 1 Duration: 0.056000ms
BinarySearch - insert | Iterations: 1 Duration: 0.048000ms
BinarySearch - insert | Iterations: 1 Duration: 0.274000ms
BinarySearch - insert | Iterations: 1 Duration: 0.049000ms
BinarySearch - insert | Iterations: 1 Duration: 0.035000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.033000ms
BinarySearch - insert | Iterations: 1 Duration: 0.060000ms
BinarySearch - insert | Iterations: 1 Duration: 0.052000ms
BinarySearch - insert | Iterations: 1 Duration: 0.076000ms
BinarySearch - insert | Iterations: 1 Duration: 0.033000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.060000ms
BinarySearch - insert | Iterations: 1 Duration: 0.052000ms
BinarySearch - insert | Iterations: 1 Duration: 0.875000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.036000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - insert | Iterations: 1 Duration: 0.034000ms
BinarySearch - search | Iterations: 6 Duration: 0.080000ms
BinarySearch - search | Iterations: 4 Duration: 0.073000ms
BinarySearch - search | Iterations: 1 Duration: 0.039000ms
BinarySearch - search | Iterations: 1 Duration: 0.030000ms
BinarySearch - search | Iterations: 4 Duration: 0.042000ms
BinarySearch - search | Iterations: 5 Duration: 0.067000ms
BinarySearch - search | Iterations: 6 Duration: 0.053000ms
BinarySearch - search | Iterations: 3 Duration: 0.052000ms
BinarySearch - search | Iterations: 4 Duration: 0.064000ms
BinarySearch - search | Iterations: 5 Duration: 0.058000ms
BinarySearch - search | Iterations: 5 Duration: 0.059000ms
BinarySearch - search | Iterations: 5 Duration: 0.081000ms
BinarySearch - search | Iterations: 4 Duration: 0.023000ms
BinarySearch - search | Iterations: 3 Duration: 0.039000ms
BinarySearch - search | Iterations: 5 Duration: 0.070000ms
BinarySearch - search | Iterations: 5 Duration: 0.068000ms
BinarySearch - search | Iterations: 4 Duration: 0.041000ms
BinarySearch - search | Iterations: 3 Duration: 0.033000ms
BinarySearch - search | Iterations: 3 Duration: 0.040000ms
BinarySearch - search | Iterations: 3 Duration: 0.050000ms
BinarySearch - search | Iterations: 5 Duration: 0.064000ms
BinarySearch - search | Iterations: 6 Duration: 0.050000ms
BinarySearch - search | Iterations: 6 Duration: 0.080000ms
BinarySearch - search | Iterations: 6 Duration: 0.069000ms
BinarySearch - search | Iterations: 5 Duration: 0.057000ms
BinarySearch - search | Iterations: 6 Duration: 0.065000ms
BinarySearch - search | Iterations: 5 Duration: 0.035000ms
BinarySearch - search | Iterations: 6 Duration: 0.061000ms
BinarySearch - search | Iterations: 6 Duration: 0.044000ms
BinarySearch - search | Iterations: 6 Duration: 0.035000ms
BinarySearch - delete | Iterations: 50 Duration: 0.237000ms
BinarySearch - delete | Iterations: 46 Duration: 0.127000ms
BinarySearch - delete | Iterations: 33 Duration: 0.122000ms
BinarySearch - delete | Iterations: 14 Duration: 0.095000ms
BinarySearch - delete | Iterations: 11 Duration: 0.094000ms
BinarySearch - delete | Iterations: 23 Duration: 0.082000ms
BinarySearch - delete | Iterations: 12 Duration: 0.068000ms
BinarySearch - delete | Iterations: 41 Duration: 0.077000ms
BinarySearch - delete | Iterations: 16 Duration: 0.103000ms
BinarySearch - delete | Iterations: 16 Duration: 0.098000ms
BinarySearch - delete | Iterations: 16 Duration: 0.093000ms
BinarySearch - delete | Iterations: 5 Duration: 0.106000ms
BinarySearch - delete | Iterations: 35 Duration: 0.096000ms
BinarySearch - delete | Iterations: 19 Duration: 0.103000ms
BinarySearch - delete | Iterations: 25 Duration: 0.086000ms
BinarySearch - delete | Iterations: 9 Duration: 0.074000ms
BinarySearch - delete | Iterations: 14 Duration: 0.057000ms
BinarySearch - delete | Iterations: 6 Duration: 0.077000ms
BinarySearch - delete | Iterations: 26 Duration: 0.076000ms
BinarySearch - delete | Iterations: 22 Duration: 0.071000ms
BinarySearch - delete | Iterations: 34 Duration: 0.102000ms
BinarySearch - delete | Iterations: 24 Duration: 0.087000ms
BinarySearch - delete | Iterations: 16 Duration: 0.084000ms
BinarySearch - delete | Iterations: 4 Duration: 0.073000ms
BinarySearch - delete | Iterations: 13 Duration: 0.089000ms
BinarySearch - delete | Iterations: 28 Duration: 0.081000ms
BinarySearch - delete | Iterations: 14 Duration: 0.071000ms
BinarySearch - delete | Iterations: 17 Duration: 0.072000ms
BinarySearch - delete | Iterations: 10 Duration: 0.080000ms
BinarySearch - delete | Iterations: 10 Duration: 0.057000ms
BTree - insert | Iterations: 1 Duration: 0.545000ms
BTree - insert | Iterations: 2 Duration: 0.149000ms
BTree - insert | Iterations: 3 Duration: 0.083000ms
BTree - insert | Iterations: 1 Duration: 0.116000ms
BTree - insert | Iterations: 3 Duration: 0.069000ms
BTree - insert | Iterations: 6 Duration: 0.488000ms
BTree - insert | Iterations: 5 Duration: 0.117000ms
BTree - insert | Iterations: 6 Duration: 0.166000ms
BTree - insert | Iterations: 2 Duration: 0.085000ms
BTree - insert | Iterations: 6 Duration: 0.707000ms
BTree - insert | Iterations: 6 Duration: 0.152000ms
BTree - insert | Iterations: 6 Duration: 0.124000ms
BTree - insert | Iterations: 3 Duration: 0.134000ms
BTree - insert | Iterations: 4 Duration: 0.231000ms
BTree - insert | Iterations: 6 Duration: 0.088000ms
BTree - insert | Iterations: 5 Duration: 0.177000ms
BTree - insert | Iterations: 3 Duration: 0.113000ms
BTree - insert | Iterations: 4 Duration: 0.086000ms
BTree - insert | Iterations: 3 Duration: 0.081000ms
BTree - insert | Iterations: 4 Duration: 0.100000ms
BTree - insert | Iterations: 3 Duration: 0.089000ms
BTree - insert | Iterations: 3 Duration: 0.109000ms
