Hashset - insert | Iterations: 1 Duration: 2.002000ms
Hashset - insert | Iterations: 1 Duration: 0.125000ms
Hashset - insert | Iterations: 1 Duration: 0.128000ms
Hashset - insert | Iterations: 1 Duration: 0.051000ms
Hashset - insert | Iterations: 1 Duration: 0.108000ms
Hashset - insert | Iterations: 1 Duration: 0.071000ms
Hashset - insert | Iterations: 1 Duration: 0.050000ms
Hashset - insert | Iterations: 1 Duration: 0.062000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.102000ms
Hashset - insert | Iterations: 1 Duration: 0.074000ms
Hashset - insert | Iterations: 1 Duration: 0.067000ms
Hashset - insert | Iterations: 1 Duration: 0.077000ms
Hashset - insert | Iterations: 1 Duration: 0.826000ms
Hashset - insert | Iterations: 1 Duration: 0.070000ms
Hashset - insert | Iterations: 1 Duration: 0.068000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.063000ms
Hashset - insert | Iterations: 1 Duration: 0.153000ms
Hashset - insert | Iterations: 1 Duration: 0.186000ms
Hashset - insert | Iterations: 1 Duration: 0.099000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.061000ms
Hashset - insert | Iterations: 1 Duration: 0.065000ms
Hashset - insert | Iterations: 1 Duration: 0.061000ms
Hashset - insert | Iterations: 1 Duration: 0.411000ms
Hashset - insert | Iterations: 1 Duration: 0.064000ms
Hashset - insert | Iterations: 1 Duration: 0.065000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - insert | Iterations: 1 Duration: 0.048000ms
Hashset - insert | Iterations: 1 Duration: 0.046000ms
Hashset - insert | Iterations: 1 Duration: 0.047000ms
Hashset - search | Iterations: 1 Duration: 0.341000ms
Hashset - search | Iterations: 1 Duration: 0.043000ms
Hashset - search | Iterations: 1 Duration: 0.025000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.023000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.029000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.024000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.044000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - delete | Iterations: 1 Duration: 0.131000ms
Hashset - delete | Iterations: 1 Duration: 0.052000ms
Hashset - delete | Iterations: 1 Duration: 0.051000ms
Hashset - delete | Iterations: 1 Duration: 0.047000ms
Hashset - delete | Iterations: 1 Duration: 0.048000ms
Hashset - delete | Iterations: 1 Duration: 0.045000ms
Hashset - delete | Iterations: 1 Duration: 0.049000ms
Hashset - delete | Iterations: 1 Duration: 0.077000ms
Hashset - delete | Iterations: 1 Duration: 0.077000ms
Hashset - delete | Iterations: 1 Duration: 0.056000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.061000ms
Hashset - delete | Iterations: 1 Duration: 0.045000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.049000ms
Hashset - delete | Iterations: 1 Duration: 0.054000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.041000ms
Hashset - delete | Iterations: 1 Duration: 0.040000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.046000ms
Hashset - delete | Iterations: 1 Duration: 0.047000ms
Hashset - delete | Iterations: 1 Duration: 0.049000ms
Hashset - delete | Iterations: 1 Duration: 0.047000ms
Hashset - delete | Iterations: 1 Duration: 0.042000ms
Hashset - delete | Iterations: 1 Duration: 0.044000ms
Hashset - delete | Iterations: 1 Duration: 0.050000ms
Red Black Tree - insert | Iterations: 1 Duration: 0.613000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.212000ms
Red Black Tree - insert | Iterations: 2 Duration: 0.227000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.121000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.207000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.127000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.152000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.294000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.179000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.217000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.217000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.188000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.220000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.365000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.920000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.186000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.182000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.129000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.112000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.115000ms
Red Black Tree - insert | Iterations: 8 Duration: 0.107000ms
Red Black Tree - insert | Iterations: 3 Duration: 0.148000ms
Red Black Tree - insert | Iterations: 5 Duration: 1.479000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.149000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.077000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.103000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.144000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.111000ms
Red Black Tree - insert | Iterations: 7 Duration: 0.123000ms
