Hashset - insert | Iterations: 1 Duration: 29.938000ms
Hashset - insert | Iterations: 1 Duration: 0.744000ms
Hashset - insert | Iterations: 1 Duration: 0.295000ms
Hashset - insert | Iterations: 1 Duration: 0.287000ms
Hashset - insert | Iterations: 1 Duration: 0.273000ms
Hashset - insert | Iterations: 1 Duration: 1.252000ms
Hashset - insert | Iterations: 1 Duration: 0.611000ms
Hashset - insert | Iterations: 1 Duration: 0.358000ms
Hashset - insert | Iterations: 1 Duration: 0.370000ms
Hashset - insert | Iterations: 1 Duration: 0.354000ms
Hashset - insert | Iterations: 1 Duration: 0.290000ms
Hashset - insert | Iterations: 1 Duration: 1.254000ms
Hashset - insert | Iterations: 1 Duration: 0.302000ms
Hashset - insert | Iterations: 1 Duration: 6.533000ms
Hashset - insert | Iterations: 1 Duration: 0.455000ms
Hashset - insert | Iterations: 1 Duration: 0.352000ms
Hashset - insert | Iterations: 1 Duration: 0.299000ms
Hashset - insert | Iterations: 1 Duration: 1.284000ms
Hashset - insert | Iterations: 1 Duration: 0.379000ms
Hashset - insert | Iterations: 1 Duration: 0.344000ms
Hashset - insert | Iterations: 1 Duration: 0.294000ms
Hashset - insert | Iterations: 1 Duration: 1.144000ms
Hashset - insert | Iterations: 1 Duration: 0.356000ms
Hashset - insert | Iterations: 1 Duration: 0.335000ms
Hashset - insert | Iterations: 1 Duration: 0.291000ms
Hashset - insert | Iterations: 1 Duration: 0.346000ms
Hashset - insert | Iterations: 1 Duration: 0.340000ms
Hashset - insert | Iterations: 1 Duration: 0.313000ms
Hashset - insert | Iterations: 1 Duration: 0.291000ms
Hashset - insert | Iterations: 1 Duration: 3.977000ms
Hashset - insert | Iterations: 1 Duration: 2.027000ms
Hashset - insert | Iterations: 1 Duration: 0.332000ms
Hashset - insert | Iterations: 1 Duration: 0.302000ms
Hashset - insert | Iterations: 1 Duration: 0.294000ms
Hashset - insert | Iterations: 1 Duration: 0.299000ms
Hashset - insert | Iterations: 1 Duration: 0.280000ms
Hashset - insert | Iterations: 1 Duration: 0.304000ms
Hashset - insert | Iterations: 1 Duration: 1.173000ms
Hashset - insert | Iterations: 1 Duration: 0.304000ms
Hashset - insert | Iterations: 1 Duration: 0.277000ms
Hashset - insert | Iterations: 1 Duration: 0.286000ms
Hashset - insert | Iterations: 1 Duration: 0.278000ms
Hashset - insert | Iterations: 1 Duration: 0.332000ms
Hashset - insert | Iterations: 1 Duration: 1.162000ms
Hashset - insert | Iterations: 1 Duration: 0.316000ms
Hashset - insert | Iterations: 1 Duration: 1.126000ms
Hashset - insert | Iterations: 1 Duration: 0.334000ms
Hashset - insert | Iterations: 1 Duration: 0.305000ms
Hashset - insert | Iterations: 1 Duration: 0.304000ms
Hashset - insert | Iterations: 1 Duration: 0.305000ms
Hashset - search | Iterations: 1 Duration: 0.839000ms
Hashset - search | Iterations: 1 Duration: 0.275000ms
Hashset - search | Iterations: 1 Duration: 0.155000ms
Hashset - search | Iterations: 1 Duration: 0.249000ms
Hashset - search | Iterations: 1 Duration: 0.173000ms
Hashset - search | Iterations: 1 Duration: 0.212000ms
Hashset - search | Iterations: 1 Duration: 0.173000ms
Hashset - search | Iterations: 1 Duration: 0.139000ms
Hashset - search | Iterations: 1 Duration: 0.169000ms
Hashset - search | Iterations: 1 Duration: 0.148000ms
Hashset - search | Iterations: 1 Duration: 0.184000ms
Hashset - search | Iterations: 1 Duration: 0.126000ms
Hashset - search | Iterations: 1 Duration: 0.236000ms
Hashset - search | Iterations: 1 Duration: 0.181000ms
Hashset - search | Iterations: 1 Duration: 0.909000ms
Hashset - search | Iterations: 1 Duration: 0.211000ms
Hashset - search | Iterations: 1 Duration: 0.122000ms
Hashset - search | Iterations: 1 Duration: 0.149000ms
Hashset - search | Iterations: 1 Duration: 0.147000ms
Hashset - search | Iterations: 1 Duration: 0.162000ms
Hashset - search | Iterations: 1 Duration: 4.462000ms
Hashset - search | Iterations: 1 Duration: 0.154000ms
Hashset - search | Iterations: 1 Duration: 0.126000ms
Hashset - search | Iterations: 1 Duration: 0.147000ms
Hashset - search | Iterations: 1 Duration: 0.136000ms
Hashset - search | Iterations: 1 Duration: 0.133000ms
Hashset - search | Iterations: 1 Duration: 0.200000ms
Hashset - search | Iterations: 1 Duration: 0.184000ms
Hashset - search | Iterations: 1 Duration: 0.145000ms
Hashset - search | Iterations: 1 Duration: 0.194000ms
Hashset - delete | Iterations: 1 Duration: 5.192000ms
Hashset - delete | Iterations: 1 Duration: 1.558000ms
Hashset - delete | Iterations: 1 Duration: 0.394000ms
Hashset - delete | Iterations: 1 Duration: 1.531000ms
Hashset - delete | Iterations: 1 Duration: 0.217000ms
Hashset - delete | Iterations: 1 Duration: 0.431000ms
Hashset - delete | Iterations: 1 Duration: 0.404000ms
Hashset - delete | Iterations: 1 Duration: 0.549000ms
Hashset - delete | Iterations: 1 Duration: 1.416000ms
Hashset - delete | Iterations: 1 Duration: 0.437000ms
Hashset - delete | Iterations: 1 Duration: 0.444000ms
Hashset - delete | Iterations: 1 Duration: 0.160000ms
Hashset - delete | Iterations: 1 Duration: 0.183000ms
Hashset - delete | Iterations: 1 Duration: 0.398000ms
Hashset - delete | Iterations: 1 Duration: 0.390000ms
Hashset - delete | Iterations: 1 Duration: 0.382000ms
Hashset - delete | Iterations: 1 Duration: 0.400000ms
Hashset - delete | Iterations: 1 Duration: 1.576000ms
Hashset - delete | Iterations: 1 Duration: 0.175000ms
Hashset - delete | Iterations: 1 Duration: 0.354000ms
Hashset - delete | Iterations: 1 Duration: 0.361000ms
Hashset - delete | Iterations: 1 Duration: 0.385000ms
Hashset - delete | Iterations: 1 Duration: 0.176000ms
Hashset - delete | Iterations: 1 Duration: 0.569000ms
Hashset - delete | Iterations: 1 Duration: 0.455000ms
Hashset - delete | Iterations: 1 Duration: 0.433000ms
Hashset - delete | Iterations: 1 Duration: 1.405000ms
Hashset - delete | Iterations: 1 Duration: 0.414000ms
Hashset - delete | Iterations: 1 Duration: 0.148000ms
Hashset - delete | Iterations: 1 Duration: 0.126000ms
Red Black Tree - insert | Iterations: 1 Duration: 12.464000ms
Red Black Tree - insert | Iterations: 2 Duration: 1.396000ms
Red Black Tree - insert | Iterations: 3 Duration: 2.038000ms
Red Black Tree - insert | Iterations: 3 Duration: 1.746000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.584000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.562000ms
Red Black Tree - insert | Iterations: 2 Duration: 1.939000ms
Red Black Tree - insert | Iterations: 6 Duration: 0.634000ms
Red Black Tree - insert | Iterations: 4 Duration: 0.782000ms
Red Black Tree - insert | Iterations: 4 Duration: 1.796000ms
Red Black Tree - insert | Iterations: 5 Duration: 0.578000ms
Red Black Tree - insert | Iterations: 4 Duration: 2.232000ms
