Hashset - insert | Iterations: 1 Duration: 31.447000ms
Hashset - insert | Iterations: 1 Duration: 0.794000ms
Hashset - insert | Iterations: 1 Duration: 0.310000ms
Hashset - insert | Iterations: 1 Duration: 0.312000ms
Hashset - insert | Iterations: 1 Duration: 0.589000ms
Hashset - insert | Iterations: 1 Duration: 1.456000ms
Hashset - insert | Iterations: 1 Duration: 0.383000ms
Hashset - insert | Iterations: 1 Duration: 0.351000ms
Hashset - insert | Iterations: 1 Duration: 0.364000ms
Hashset - insert | Iterations: 1 Duration: 0.404000ms
Hashset - insert | Iterations: 1 Duration: 0.318000ms
Hashset - insert | Iterations: 1 Duration: 1.602000ms
Hashset - insert | Iterations: 1 Duration: 0.371000ms
Hashset - insert | Iterations: 1 Duration: 7.370000ms
Hashset - insert | Iterations: 1 Duration: 0.554000ms
Hashset - insert | Iterations: 1 Duration: 0.335000ms
Hashset - insert | Iterations: 1 Duration: 0.323000ms
Hashset - insert | Iterations: 1 Duration: 0.381000ms
Hashset - insert | Iterations: 1 Duration: 0.317000ms
Hashset - insert | Iterations: 1 Duration: 0.312000ms
Hashset - insert | Iterations: 1 Duration: 0.357000ms
Hashset - insert | Iterations: 1 Duration: 1.180000ms
Hashset - insert | Iterations: 1 Duration: 2.040000ms
Hashset - insert | Iterations: 1 Duration: 1.374000ms
Hashset - insert | Iterations: 1 Duration: 0.342000ms
Hashset - insert | Iterations: 1 Duration: 0.331000ms
Hashset - insert | Iterations: 1 Duration: 0.299000ms
Hashset - insert | Iterations: 1 Duration: 0.293000ms
Hashset - insert | Iterations: 1 Duration: 0.341000ms
Hashset - insert | Iterations: 1 Duration: 3.959000ms
Hashset - insert | Iterations: 1 Duration: 2.352000ms
Hashset - insert | Iterations: 1 Duration: 0.318000ms
Hashset - insert | Iterations: 1 Duration: 0.316000ms
Hashset - insert | Iterations: 1 Duration: 0.304000ms
Hashset - insert | Iterations: 1 Duration: 0.325000ms
Hashset - insert | Iterations: 1 Duration: 0.297000ms
Hashset - insert | Iterations: 1 Duration: 0.309000ms
Hashset - insert | Iterations: 1 Duration: 1.243000ms
Hashset - insert | Iterations: 1 Duration: 0.320000ms
Hashset - insert | Iterations: 1 Duration: 0.314000ms
Hashset - insert | Iterations: 1 Duration: 0.308000ms
Hashset - insert | Iterations: 1 Duration: 0.293000ms
Hashset - insert | Iterations: 1 Duration: 0.323000ms
Hashset - insert | Iterations: 1 Duration: 0.317000ms
Hashset - insert | Iterations: 1 Duration: 0.335000ms
Hashset - insert | Iterations: 1 Duration: 1.185000ms
Hashset - insert | Iterations: 1 Duration: 0.342000ms
Hashset - insert | Iterations: 1 Duration: 0.331000ms
Hashset - insert | Iterations: 1 Duration: 0.339000ms
Hashset - insert | Iterations: 1 Duration: 1.239000ms
Hashset - search | Iterations: 1 Duration: 0.783000ms
Hashset - search | Iterations: 1 Duration: 0.242000ms
Hashset - search | Iterations: 1 Duration: 0.129000ms
Hashset - search | Iterations: 1 Duration: 0.139000ms
Hashset - search | Iterations: 1 Duration: 0.207000ms
Hashset - search | Iterations: 1 Duration: 0.148000ms
Hashset - search | Iterations: 1 Duration: 0.150000ms
Hashset - search | Iterations: 1 Duration: 0.238000ms
Hashset - search | Iterations: 1 Duration: 0.145000ms
Hashset - search | Iterations: 1 Duration: 0.153000ms
Hashset - search | Iterations: 1 Duration: 0.144000ms
Hashset - search | Iterations: 1 Duration: 0.145000ms
Hashset - search | Iterations: 1 Duration: 0.193000ms
Hashset - search | Iterations: 1 Duration: 0.152000ms
Hashset - search | Iterations: 1 Duration: 0.140000ms
Hashset - search | Iterations: 1 Duration: 0.161000ms
Hashset - search | Iterations: 1 Duration: 0.155000ms
Hashset - search | Iterations: 1 Duration: 1.008000ms
Hashset - search | Iterations: 1 Duration: 0.146000ms
Hashset - search | Iterations: 1 Duration: 0.143000ms
Hashset - search | Iterations: 1 Duration: 0.150000ms
Hashset - search | Iterations: 1 Duration: 0.145000ms
Hashset - search | Iterations: 1 Duration: 0.139000ms
Hashset - search | Iterations: 1 Duration: 0.169000ms
Hashset - search | Iterations: 1 Duration: 0.126000ms
Hashset - search | Iterations: 1 Duration: 0.169000ms
Hashset - search | Iterations: 1 Duration: 0.137000ms
Hashset - search | Iterations: 1 Duration: 0.150000ms
Hashset - search | Iterations: 1 Duration: 0.128000ms
Hashset - search | Iterations: 1 Duration: 0.153000ms
Hashset - delete | Iterations: 1 Duration: 3.515000ms
Hashset - delete | Iterations: 1 Duration: 1.695000ms
Hashset - delete | Iterations: 1 Duration: 0.370000ms
Hashset - delete | Iterations: 1 Duration: 1.561000ms
