Hashset - insert | Iterations: 1 Duration: 2.168000ms
Hashset - insert | Iterations: 1 Duration: 0.100000ms
Hashset - insert | Iterations: 1 Duration: 0.177000ms
Hashset - insert | Iterations: 1 Duration: 0.060000ms
Hashset - insert | Iterations: 1 Duration: 0.058000ms
Hashset - insert | Iterations: 1 Duration: 0.058000ms
Hashset - insert | Iterations: 1 Duration: 0.056000ms
Hashset - insert | Iterations: 1 Duration: 0.055000ms
Hashset - insert | Iterations: 1 Duration: 0.057000ms
Hashset - insert | Iterations: 1 Duration: 0.106000ms
Hashset - insert | Iterations: 1 Duration: 0.059000ms
Hashset - insert | Iterations: 1 Duration: 0.055000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.968000ms
Hashset - insert | Iterations: 1 Duration: 0.086000ms
Hashset - insert | Iterations: 1 Duration: 0.072000ms
Hashset - insert | Iterations: 1 Duration: 0.071000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - insert | Iterations: 1 Duration: 0.070000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.184000ms
Hashset - insert | Iterations: 1 Duration: 0.236000ms
Hashset - insert | Iterations: 1 Duration: 0.145000ms
Hashset - insert | Iterations: 1 Duration: 0.061000ms
Hashset - insert | Iterations: 1 Duration: 0.062000ms
Hashset - insert | Iterations: 1 Duration: 0.087000ms
Hashset - insert | Iterations: 1 Duration: 0.076000ms
Hashset - insert | Iterations: 1 Duration: 0.521000ms
Hashset - insert | Iterations: 1 Duration: 0.085000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.055000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.055000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - insert | Iterations: 1 Duration: 0.055000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.056000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.052000ms
Hashset - insert | Iterations: 1 Duration: 0.055000ms
Hashset - insert | Iterations: 1 Duration: 0.056000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.054000ms
Hashset - insert | Iterations: 1 Duration: 0.053000ms
Hashset - search | Iterations: 1 Duration: 0.315000ms
Hashset - search | Iterations: 1 Duration: 0.044000ms
Hashset - search | Iterations: 1 Duration: 0.023000ms
Hashset - search | Iterations: 1 Duration: 0.024000ms
Hashset - search | Iterations: 1 Duration: 0.024000ms
Hashset - search | Iterations: 1 Duration: 0.025000ms
Hashset - search | Iterations: 1 Duration: 0.025000ms
Hashset - search | Iterations: 1 Duration: 0.041000ms
Hashset - search | Iterations: 1 Duration: 0.024000ms
Hashset - search | Iterations: 1 Duration: 0.023000ms
