Hashset - insert | Iterations: 1 Duration: 1.626000ms
Hashset - insert | Iterations: 1 Duration: 0.111000ms
Hashset - insert | Iterations: 1 Duration: 0.129000ms
Hashset - insert | Iterations: 1 Duration: 0.075000ms
Hashset - insert | Iterations: 1 Duration: 0.041000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.057000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.040000ms
Hashset - insert | Iterations: 1 Duration: 0.847000ms
Hashset - insert | Iterations: 1 Duration: 0.066000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.040000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.058000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.161000ms
Hashset - insert | Iterations: 1 Duration: 0.156000ms
Hashset - insert | Iterations: 1 Duration: 0.095000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.061000ms
Hashset - insert | Iterations: 1 Duration: 0.049000ms
Hashset - insert | Iterations: 1 Duration: 0.362000ms
Hashset - insert | Iterations: 1 Duration: 0.068000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.042000ms
Hashset - insert | Iterations: 1 Duration: 0.043000ms
Hashset - insert | Iterations: 1 Duration: 0.044000ms
Hashset - insert | Iterations: 1 Duration: 0.045000ms
Hashset - search | Iterations: 1 Duration: 0.174000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.020000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.022000ms
Hashset - search | Iterations: 1 Duration: 0.021000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
Hashset - search | Iterations: 1 Duration: 0.019000ms
